error_code,action_code,message_ko,message_en
20010,1,서버 버전 정보 오류 재접속 합니다.,Reconnect because of Server version information error.
20011,1,세선 오류 재접속 합니다.,Reconnect because of Session error.
20012,1,CDN Patch를 위해 재접속 합니다.,Reconnect due to CDN Patch.
20013,1,Application Update로 재접속 합니다.,Reconnect due to an application update.
20014,1,서버 점검으로 인해 접속할 수 없습니다.,Unable to connect due to server maintenance.
20015,1,중복 접속으로 서버 접속 종료 됩니다.,The server connection will be terminated due to duplicate connections.
20016,1,세션 만료로 인해 재접속 됩니다.,Reconnect due to session expiration.
1000,0,캐릭터 정보를 찾을 수 없습니다.,Character information cannot be found.
1001,0,유저 프리셋 정보를 찾을 수 없습니다.,User preset information cannot be found.
1002,0,유저 아이템 정보를 찾을 수 없습니다.,User item information cannot be found.
1003,0,출석부 데이터를 찾을 수 없습니다.,No attendance data found.
1004,2,서버 점검시간입니다.,Server maintenance time.
1005,1,로그인 유저 정보를 확인할 수 없습니다.,Unable to verify login user information.
1006,1,계정생성에 실패했습니다.,Failed to create an account.
1007,0,로그인을 할 수 없습니다.,Cannot log in.
1008,0,아이템 정보를 찾을 수 없습니다.,Item information cannot be found.
1009,1,시스템 에러가 발생하여 접속할 수 없습니다.,Connection failed due to system error.
1010,1,CDN Patch를 위해 재접속 합니다.,Reconnecting due to a CDN patch update.
1011,1,Application Update로 재접속 합니다.,Reconnecting due to an application update.
1012,1,중복 접속으로 서버 접속 종료 됩니다.,Server disconnected due to duplicate login.
1013,0,유저정보를 찾을 수 없습니다.,User information cannot be found.
1014,0,유저정보를 찾을 수 없습니다.,User information cannot be found.
1015,0,출석부 데이터를 찾을 수 없습니다.,Attendance data cannot be found.
1016,0,유저정보를 찾을 수 없습니다.,User information cannot be found.
1100,1,유저 정보를 확인할 수 없습니다.,User information cannot be verified.
1101,0,랭킹이 존재 하지 않습니다.,Ranking does not exist.
1102,0,랭킹 데이터를 찾을 수 없습니다.,Ranking data cannot be found.
1103,0,랭킹 티어 정보를 찾을 수 없습니다.,Ranking tier information cannot be found.
1104,0,유저 정보를 찾을 수 없습니다.,User information cannot be found.
1200,1,유저 정보를 확인할 수 없습니다.,User information cannot be verified.
1201,0,변경할 닉네임을 기재해 주세요.,Please enter new nickname.
1202,0,닉네임 변경 후 24시간 이후 변경이 가능합니다.,You can change your nickname after 24 hours.
1203,0,입력한 문장에 금칙어가 있습니다.,The sentence contains forbidden words.
1204,0,영문 및 숫자만 사용 가능합니다.,Only English letters and numbers can be available.
1205,0,12자 이내만 가능합니다.,No more than 12 characters.
1300,1,유저 정보를 확인할 수 없습니다.,User information cannot be verified.
1400,1,유저 정보를 확인할 수 없습니다.,User information cannot be verified.
1401,0,아이템 변경에 실패했습니다.,Failed to change item.
1402,0,보상 아이템이 없습니다,Reward item is not found.
1500,1,유저 정보를 확인할 수 없습니다.,User information cannot be verified.
1600,1,유저 정보를 확인할 수 없습니다.,User information cannot be verified.
1601,0,Http 통신 에러,Http Communication Error
1602,0,서버 통신 에러,Server Communication Error
1700,1,유저 정보를 확인할 수 없습니다.,User information cannot be verified.
1701,0,랭킹 데이터를 찾을 수 없습니다.,Ranking data cannot be found.
1702,0,랭킹 티어 정보를 찾을 수 없습니다.,Ranking tier information cannot be found.
1703,0,시즌정보를 찾을 수 없습니다.,Season information cannot be found.
1704,0,아이템이 존재하지 않습니다.,The item doesn't exist.
1705,0,이미 종료된 방입니다.,The room has already closed.
1706,0,랭킹 티어 데이터를 찾을 수 없습니다.,Ranking tier data is not found.
1707,0,랭킹 티어 데이터를 찾을 수 없습니다.,Ranking tier data is not found.
1708,0,랭킹 티어 데이터를 찾을 수 없습니다.,Ranking tier data is not found.
1709,0,아이템 지급에 실패했습니다.,Item distribution was failed.
1710,1,유저 정보를 확인할 수 없습니다.,User information cannot be verified.
1711,0,이미 보상을 받았습니다.,The reward has already been received.
1712,0,보상을 받을 수 없습니다.,Rewards cannot be received.
1713,0,보상 데이터가 없습니다.,No reward data.
1720,1,유저 정보를 확인할 수 없습니다.,User information cannot be verified.
1721,0,이미 방이 존재 합니다.,The room already exists.
1722,0,방 정보를 찾을 수 없습니다.,Room information cannot be found.
1723,0,방 정보를 찾을 수 없습니다.,Room information cannot be found.
1724,0,참여 할 수 있는 방이 없습니다.,There are no rooms available to join.
1725,0,방 정보를 찾을 수 없습니다.,Room information cannot be found.
1726,0,이미 종료된 방 입니다.,The room has already closed.
1727,0,유저 정보를 찾을 수 없습니다.,User information cannot be found.
1728,0,캐릭터 정보를 찾을 수 없습니다.,Character information cannnot be found.
1729,0,캐릭터가 존재하지 않습니다.,The character doesn't exist.
1730,1,유저 정보를 확인할 수 없습니다.,User information cannot be verified.
1731,0,방이 존재 하지 않습니다.,The room doesn't exist.
1732,0,이미 종료된 방입니다.,The room has already been closed.
1733,0,아이템 정보를 찾을 수 없습니다.,Item information cannot be found.
1734,0,아이템이 존재하지 않습니다.,The item does not exist.
1735,0,방 정보를 찾을 수 없습니다.,Room information cannot be found.
1736,0,해당 방에서 게임하지 않은 유저 입니다.,The user has not played in the room.
1737,0,랭킹 티어 데이터를 찾을 수 없습니다.,Ranking tier data cannot be found.
1738,0,아이템 지급에 실패했습니다.,Item distribution was failed.
1740,1,유저 정보를 확인할 수 없습니다.,User information cannot be verified.
1741,0,방이 존재 하지 않습니다.,The room does not exist.
1742,0,이미 종료되거나 게임 시작된 방입니다.,The room has already ended or the game has started.
1743,0,블루 다이아 데이터가 없습니다.,No Blue Diamond data.
1744,0,아이템 지급에 실패했습니다.,Item distribution was failed.
1745,0,경쟁정 티켓 데이터가 없습니다.,No matching ticket data.
1746,0,경쟁정 티켓이 부족합니다.,Not enough matching tickets.
1747,0,유저의 프리셋 정보가 없습니다.,No preset information for the user.
1748,0,이미 생성되어 있는 방입니다.,The room has already been created.
1749,0,대전 Room을 찾을 수 없습니다.,Matching room cannot be found.
1750,0,"이미 시작되었거나, 만료된 대전 Room 입니다.",Matching room has already started or ended.
1751,0,대전 Room을 찾을 수 없습니다.,Matching room cannot be found.
1752,0,이미 종료된 Room 입니다.,The room has already ended.
1753,0,잘못된 요청입니다.,Wrong request.
1754,0,유저 정보를 찾을 수 없습니다.,User information cannot be found.
1755,0,대전 Room을 찾을 수 없습니다.,The matching room cannot be found.
1756,0,이미 만료된 Room 입니다.,The room has already ended.
1757,0,잘못된 요청입니다.,Wrong request.
1758,0,이미 경기 결과 보상을 받았습니다.,You have already received a match reward.
1759,0,유저 아이템 정보를 찾을 수 없습니다.,User item information cannot be found.
1760,0,미니 게임 티켓이 없습니다.,No mini-game tickets.
1761,0,미니 게임 티켓이 부족합니다.,Not enough mini-game tickets.
1762,0,미니 게임 티켓이 부족합니다.,Not enough mini-game tickets.
1763,0,루비가 없습니다.,No rubies.
1764,0,보상 지급에 실패했습니다.,Failed to distribute rewards.
1765,0,점검 중입니다. 고객센터로 문의해 주세요.,Maintenance is in progress. Please contact support center.
1766,0,유저 아이템 정보를 찾을 수 없습니다.,User item information cannot be found.
1767,0,유저 아이템 정보를 찾을 수 없습니다.,User item information cannot be found.
1768,0,경쟁전 티켓이 부족합니다.,Not enough matching tickets.
1769,0,유저 아이템 정보를 찾을 수 없습니다.,User item information cannot be found.
1770,0,미니 게임 티켓이 부족합니다.,There are not enough mini-game tickets.
1800,1,유저 정보를 확인할 수 없습니다.,User information cannot be verified.
1801,0,랭킹이 존재 하지 않습니다.,The ranking does not exist.
1802,0,랭킹 만료시간 설정에 실패했습니다.,Failed to set ranking expiration time.
1803,0,유저 정보를 확인할 수 없습니다.,User information cannot be verified.
1804,0,유저 정보를 확인할 수 없습니다.,User information cannot be verified.
1085,0,동일 시즌 이여서 보상 할 수 없습니다.,Cannot receive rewards because it's the same season.
1086,0,로그 정보를 찾을 수 없습니다.,Log information cannot be found.
1087,0,랭킹 티어 데이터를 찾을 수 없습니다.,Ranking tier data cannot be found.
1088,0,내 티어정보를 확인할 수 없습니다.,You cannot check your tier infromation.
1089,0,내 티어정보를 확인할 수 없습니다.,You cannot check your tier infromation.
2000,1,유저 정보를 확인할 수 없습니다.,User information cannot be verified.
2001,0,캐릭터 정보를 찾을 수 없습니다.,Character information cannot be found.
2002,0,아이템이 존재하지 않습니다.,Item does not exist.
2003,0,레벨업 데이터를 찾을 수 없습니다.,Upgrade data cannot be found.
2004,0,더 이상 레벨업을 할 수 없습니다.,You cannot level up no longer.
2005,0,캐릭터 레벨업에 필요한 재료가 부족합니다.,Not enough materials for character level up.
2006,0,캐릭터 레벨업에 실패하였습니다.,Failed to level up your character.
2007,0,파트너 정보를 찾을 수 없습니다.,Partner information cannot be found.
2008,0,더 이상 레벨업을 할 수 없습니다.,You cannot level up no longer.
